match_id,commence_time,fighter_1,fighter_2,data_source,win_prob_fighter1,win_prob_fighter2,implied_prob_fighter1,implied_prob_fighter2,total_margin
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,BetOnline.ag,"1,43","2,95","69,93","33,9","103,83"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,1xBet,"1,37","3,06","72,99","32,68","105,67"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,Nordic Bet,"1,38","3,0","72,46","33,33","105,79"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,Betsson,"1,38","3,0","72,46","33,33","105,79"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,Pinnacle,"1,41","3,02","70,92","33,11","104,03"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,BetAnything,"1,43","2,8","69,93","35,71","105,64"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,Unibet (SE),"1,36","3,15","73,53","31,75","105,28"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,Unibet (NL),"1,36","3,15","73,53","31,75","105,28"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,LeoVegas (SE),"1,36","3,15","73,53","31,75","105,28"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,William Hill,"1,36","3,1","73,53","32,26","105,79"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,Coolbet,"1,39","3,12","71,94","32,05","103,99"
5b02941bc1425e1bd998c928a827c727,2026-04-18 22:00:00,Allan Nascimento,Mitch Raposo,Betfair,"1,4","3,2","71,43","31,25","102,68"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,BetOnline.ag,"1,58","2,46","63,29","40,65","103,94"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,1xBet,"1,59","2,38","62,89","42,02","104,91"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Betclic (FR),"1,54","2,3","64,94","43,48","108,42"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Nordic Bet,"1,56","2,4","64,1","41,67","105,77"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Betsson,"1,56","2,4","64,1","41,67","105,77"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,888sport,"1,53","2,3","65,36","43,48","108,84"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Pinnacle,"1,6","2,43","62,5","41,15","103,65"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,BetAnything,"1,59","2,4","62,89","41,67","104,56"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Unibet (SE),"1,57","2,38","63,69","42,02","105,71"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Unibet (NL),"1,57","2,38","63,69","42,02","105,71"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,LeoVegas (SE),"1,57","2,38","63,69","42,02","105,71"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,William Hill,"1,57","2,38","63,69","42,02","105,71"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Marathon Bet,"1,57","2,34","63,69","42,74","106,43"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Coolbet,"1,6","2,4","62,5","41,67","104,17"
21e4963e9040883f3e377d147d086c6c,2026-04-18 22:00:00,Kyler Phillips,Charles Jourdain,Betfair,"1,59","2,48","62,89","40,32","103,21"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,BetOnline.ag,"2,4","1,62","41,67","61,73","103,4"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,1xBet,"2,24","1,63","44,64","61,35","105,99"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,Nordic Bet,"2,35","1,57","42,55","63,69","106,24"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,Betsson,"2,35","1,57","42,55","63,69","106,24"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,Pinnacle,"2,41","1,6","41,49","62,5","103,99"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,BetAnything,"2,3","1,62","43,48","61,73","105,21"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,LeoVegas (SE),"2,55","1,51","39,22","66,23","105,45"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,Unibet (SE),"2,55","1,51","39,22","66,23","105,45"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,Unibet (NL),"2,55","1,51","39,22","66,23","105,45"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,William Hill,"2,38","1,57","42,02","63,69","105,71"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,Coolbet,"2,4","1,6","41,67","62,5","104,17"
4f7b70c5b19cea89fa601c0fe3a69231,2026-04-18 22:00:00,Melissa Croden,Darya Zheleznyakova,Betfair,"2,4","1,65","41,67","60,61","102,28"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,BetOnline.ag,"4,55","1,22","21,98","81,97","103,95"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,1xBet,"4,51","1,21","22,17","82,64","104,81"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,Betsson,"4,2","1,21","23,81","82,64","106,45"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,Nordic Bet,"4,2","1,21","23,81","82,64","106,45"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,Betclic (FR),"4,15","1,19","24,1","84,03","108,13"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,Pinnacle,"4,35","1,24","22,99","80,65","103,64"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,BetAnything,"3,85","1,22","25,97","81,97","107,94"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,Unibet (NL),"4,1","1,24","24,39","80,65","105,04"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,LeoVegas (SE),"4,1","1,24","24,39","80,65","105,04"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,Unibet (SE),"4,1","1,24","24,39","80,65","105,04"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,William Hill,"4,2","1,22","23,81","81,97","105,78"
46fe6736c8f9dab62833f61fed2d5b48,2026-04-18 22:00:00,Márcio Barbosa,Dennis Buzukja,Coolbet,"4,35","1,23","22,99","81,3","104,29"
